answer,percentage
quh_Latn,0.79
quy_Latn,0.9
quz_Latn,0.86
quy_Latn,0.99
quz_Latn,0.99
quz_Latn,0.87
quy_Latn,0.61
quy_Latn,1.0
quz_Latn,0.68
quy_Latn,1.0
quy_Latn,1.0
quz_Latn,0.73
quz_Latn,0.98
quy_Latn,0.65
quy_Latn,0.52
quz_Latn,0.95
quy_Latn,0.54
quy_Latn,1.0
quz_Latn,1.0
quy_Latn,0.99
quz_Latn,0.88
quz_Latn,0.91
quf_Latn,0.65
quy_Latn,0.97
quy_Latn,0.93
quy_Latn,0.7
quy_Latn,0.48
quy_Latn,0.81
quy_Latn,0.89
quy_Latn,0.94
quz_Latn,0.31
quz_Latn,0.98
quy_Latn,0.51
quz_Latn,0.77
quy_Latn,0.98
quy_Latn,0.99
quz_Latn,0.62
quy_Latn,0.97
quy_Latn,1.0
quy_Latn,0.99
quy_Latn,0.9
quz_Latn,0.77
quy_Latn,0.99
quz_Latn,1.0
quz_Latn,0.98
quy_Latn,0.57
quz_Latn,0.98
quy_Latn,0.86
quy_Latn,1.0
quy_Latn,0.97
quy_Latn,1.0
quy_Latn,0.54
quy_Latn,0.98
quz_Latn,0.73
quy_Latn,0.97
quy_Latn,0.74
quy_Latn,0.69
quy_Latn,0.96
qul_Latn,0.72
quy_Latn,0.72
quy_Latn,0.99
quy_Latn,1.0
quy_Latn,0.83
quy_Latn,0.79
quz_Latn,0.71
quy_Latn,1.0
quy_Latn,1.0
quy_Latn,1.0
quy_Latn,0.97
quy_Latn,1.0
quz_Latn,0.88
quy_Latn,1.0
quy_Latn,0.99
quy_Latn,0.96
quz_Latn,0.99
quz_Latn,0.85
quz_Latn,0.69
bjn_Latn,0.25
quz_Latn,0.97
quy_Latn,1.0
quz_Latn,0.99
quy_Latn,1.0
quy_Latn,0.51
quy_Latn,0.76
quy_Latn,0.54
quy_Latn,1.0
quz_Latn,0.73
quy_Latn,0.88
quz_Latn,0.78
quy_Latn,1.0
quz_Latn,0.72
quy_Latn,0.97
quz_Latn,0.78
quy_Latn,1.0
quy_Latn,0.54
quy_Latn,1.0
quy_Latn,0.98
quy_Latn,0.98
quz_Latn,0.79
quy_Latn,1.0
quz_Latn,0.83
quz_Latn,0.97
quy_Latn,1.0
quy_Latn,0.52
quy_Latn,0.97
quy_Latn,0.89
quz_Latn,0.71
quy_Latn,0.87
quy_Latn,0.44
quz_Latn,0.99
quz_Latn,0.94
quy_Latn,0.98
quy_Latn,1.0
quy_Latn,0.94
qul_Latn,0.82
quy_Latn,0.96
quy_Latn,0.96
quy_Latn,0.95
quz_Latn,0.97
quz_Latn,0.69
quz_Latn,0.59
quy_Latn,0.99
quy_Latn,0.53
quz_Latn,0.65
quy_Latn,0.97
quy_Latn,0.77
quy_Latn,0.9
quy_Latn,1.0
quy_Latn,0.75
quz_Latn,0.5
quy_Latn,0.98
quz_Latn,0.87
quy_Latn,0.68
quy_Latn,1.0
quy_Latn,1.0
quy_Latn,0.98
quy_Latn,1.0
quz_Latn,1.0
quy_Latn,0.99
quz_Latn,0.92
quy_Latn,1.0
quy_Latn,0.61
quy_Latn,0.97
quy_Latn,0.98
quy_Latn,1.0
quy_Latn,0.71
quz_Latn,0.85
quy_Latn,0.98
quy_Latn,1.0
quy_Latn,0.87
quz_Latn,0.97
quy_Latn,1.0
quy_Latn,1.0
quy_Latn,0.97
quy_Latn,0.94
quy_Latn,1.0
quy_Latn,1.0
quy_Latn,0.98
quy_Latn,0.99
quy_Latn,0.96
quy_Latn,1.0
quy_Latn,1.0
quy_Latn,0.75
quy_Latn,0.99
quy_Latn,1.0
quy_Latn,0.74
quy_Latn,1.0
quy_Latn,0.88
quy_Latn,0.85
quy_Latn,1.0
quy_Latn,0.92
quy_Latn,0.37
quy_Latn,0.8
quy_Latn,1.0
quy_Latn,0.71
quy_Latn,1.0
quz_Latn,0.99
quy_Latn,0.91
quy_Latn,0.98
quz_Latn,0.77
quz_Latn,0.86
quz_Latn,0.99
quy_Latn,0.98
quy_Latn,0.97
quy_Latn,0.99
quz_Latn,0.86
quy_Latn,0.84
quz_Latn,0.85
quz_Latn,0.66
quz_Latn,0.61
quy_Latn,1.0
quz_Latn,0.98
quz_Latn,0.99
quz_Latn,1.0
quy_Latn,0.72
quz_Latn,0.99
quz_Latn,0.94
qul_Latn,0.59
quz_Latn,0.99
quy_Latn,1.0
quy_Latn,1.0
quy_Latn,1.0
quy_Latn,0.99
quy_Latn,1.0
quy_Latn,0.93
quy_Latn,0.98
quy_Latn,0.93
quy_Latn,0.69
quy_Latn,1.0
quz_Latn,0.98
quy_Latn,0.83
quy_Latn,0.99
quy_Latn,0.97
quy_Latn,0.95
quz_Latn,0.95
quy_Latn,0.61
quz_Latn,0.61
quz_Latn,0.66
quy_Latn,0.51
quy_Latn,0.92
quy_Latn,0.99
quy_Latn,0.92
quy_Latn,0.99
quy_Latn,1.0
quy_Latn,0.72
quy_Latn,0.99
quz_Latn,0.56
quy_Latn,1.0
quy_Latn,1.0
quy_Latn,0.97
quy_Latn,0.99
quy_Latn,0.7
quy_Latn,1.0
quy_Latn,0.87
quy_Latn,0.99
quz_Latn,0.97
quz_Latn,0.78
quy_Latn,1.0
ayr_Latn,0.52
quy_Latn,0.99
quz_Latn,0.68
quy_Latn,1.0
quy_Latn,0.95
quy_Latn,0.91
quz_Latn,0.98
quz_Latn,0.95
quy_Latn,0.96
quy_Latn,0.93
quy_Latn,0.96
quy_Latn,0.66
quz_Latn,0.95
quz_Latn,1.0
quz_Latn,0.99
quy_Latn,0.97
quy_Latn,0.94
quy_Latn,0.94
quy_Latn,1.0
quy_Latn,0.76
quy_Latn,1.0
quy_Latn,1.0
quy_Latn,1.0
quy_Latn,0.51
quy_Latn,0.99
quy_Latn,1.0
quy_Latn,0.95
quy_Latn,1.0
quz_Latn,0.86
quy_Latn,0.98
quy_Latn,1.0
quy_Latn,0.97
quy_Latn,0.69
quy_Latn,0.9
quy_Latn,1.0
quz_Latn,0.91
quz_Latn,0.6
quy_Latn,1.0
quy_Latn,0.94
quy_Latn,0.82
quz_Latn,0.99
quy_Latn,0.69
quy_Latn,0.71
quy_Latn,0.55
quy_Latn,0.81
quy_Latn,1.0
quy_Latn,0.72
quy_Latn,1.0
quy_Latn,0.71
quy_Latn,0.85
quy_Latn,0.97
quz_Latn,1.0
quz_Latn,0.96
quz_Latn,0.93
quy_Latn,0.94
quz_Latn,0.95
quy_Latn,0.92
quy_Latn,0.98
quz_Latn,1.0
quy_Latn,0.97
quy_Latn,0.85
quz_Latn,0.6
quy_Latn,0.94
quy_Latn,0.92
quy_Latn,1.0
quy_Latn,1.0
quz_Latn,1.0
quy_Latn,1.0
quz_Latn,0.66
quy_Latn,1.0
quz_Latn,0.72
quy_Latn,1.0
qul_Latn,0.69
quz_Latn,0.96
quz_Latn,1.0
quy_Latn,0.76
quy_Latn,0.96
quy_Latn,0.95
quz_Latn,0.95
quy_Latn,0.99
quy_Latn,1.0
quy_Latn,0.99
quy_Latn,0.96
quy_Latn,0.76
quy_Latn,1.0
quy_Latn,0.98
quy_Latn,0.55
quy_Latn,0.79
quz_Latn,0.74
quy_Latn,0.68
quz_Latn,0.77
quy_Latn,0.51
quz_Latn,0.99
quy_Latn,0.98
quy_Latn,1.0
quy_Latn,1.0
quy_Latn,0.82
quy_Latn,0.56
quz_Latn,0.99
quy_Latn,1.0
quy_Latn,0.89
quy_Latn,0.89
quy_Latn,0.99
quy_Latn,1.0
quy_Latn,1.0
quz_Latn,0.58
quz_Latn,1.0
quy_Latn,1.0
quy_Latn,0.88
quy_Latn,0.92
quz_Latn,0.96
quy_Latn,0.83
quz_Latn,0.52
quz_Latn,0.99
quy_Latn,0.88
quz_Latn,0.73
quy_Latn,1.0
quz_Latn,1.0
quy_Latn,1.0
quy_Latn,0.95
quy_Latn,1.0
quy_Latn,0.95
quz_Latn,0.86
quy_Latn,0.67
quz_Latn,0.87
quy_Latn,0.77
quy_Latn,0.97
quy_Latn,0.99
quy_Latn,0.96
quy_Latn,0.98
quz_Latn,0.63
quy_Latn,1.0
quy_Latn,0.86
quy_Latn,0.99
quy_Latn,1.0
quy_Latn,0.99
quy_Latn,1.0
quy_Latn,1.0
quy_Latn,0.99
quy_Latn,0.99
quy_Latn,0.95
quy_Latn,0.99
quy_Latn,1.0
quy_Latn,0.98
quy_Latn,1.0
quy_Latn,0.71
quy_Latn,1.0
quy_Latn,1.0
quy_Latn,0.99
quy_Latn,0.59
quy_Latn,0.65
quy_Latn,0.62
quy_Latn,0.99
quy_Latn,0.84
quz_Latn,0.93
quy_Latn,0.9
quy_Latn,0.98
quy_Latn,0.99
quy_Latn,1.0
quy_Latn,0.71
quy_Latn,1.0
quy_Latn,0.61
quz_Latn,0.67
quy_Latn,1.0
quy_Latn,1.0
quy_Latn,0.85
quz_Latn,0.79
quy_Latn,1.0
quy_Latn,0.94
quy_Latn,1.0
quy_Latn,0.51
quy_Latn,0.94
quy_Latn,1.0
quy_Latn,0.96
quy_Latn,0.99
quy_Latn,0.6
quz_Latn,0.48
quy_Latn,1.0
quy_Latn,0.99
quy_Latn,0.88
quy_Latn,0.98
quy_Latn,0.98
quy_Latn,0.99
quy_Latn,0.86
quy_Latn,1.0
quy_Latn,1.0
quy_Latn,0.99
quy_Latn,1.0
quy_Latn,0.73
quz_Latn,0.97
quz_Latn,0.89
quy_Latn,0.6
quz_Latn,0.98
quy_Latn,0.91
quy_Latn,0.8
quy_Latn,1.0
quy_Latn,0.99
quy_Latn,1.0
quy_Latn,1.0
quy_Latn,0.94
quz_Latn,1.0
quy_Latn,0.99
quy_Latn,0.99
quy_Latn,1.0
quy_Latn,1.0
quy_Latn,0.95
quy_Latn,0.99
quy_Latn,1.0
quz_Latn,0.97
quy_Latn,0.87
quy_Latn,1.0
quy_Latn,0.99
quy_Latn,0.99
quy_Latn,0.99
quz_Latn,0.61
quy_Latn,1.0
quz_Latn,0.6
quz_Latn,0.76
quy_Latn,0.98
quy_Latn,0.64
quz_Latn,0.96
quy_Latn,0.96
quy_Latn,0.84
quy_Latn,0.76
quz_Latn,0.66
quy_Latn,0.61
quy_Latn,0.86
quz_Latn,0.66
quz_Latn,0.97
quy_Latn,0.92
quz_Latn,0.53
quy_Latn,0.55
quy_Latn,0.86
quy_Latn,0.7
quy_Latn,0.99
quz_Latn,0.54
quy_Latn,1.0
quy_Latn,0.99
quy_Latn,1.0
quz_Latn,0.88
quy_Latn,0.99
quy_Latn,0.99
quy_Latn,0.92
quz_Latn,0.58
quy_Latn,0.94
quz_Latn,0.77
quy_Latn,0.87
quy_Latn,1.0
quy_Latn,1.0
quz_Latn,0.97
quz_Latn,0.57
quz_Latn,0.67
quy_Latn,0.96
quy_Latn,1.0
quy_Latn,1.0
quy_Latn,0.8
quy_Latn,1.0
quy_Latn,1.0
quy_Latn,1.0
quy_Latn,0.98
quz_Latn,0.99
quz_Latn,0.52
quz_Latn,0.61
quy_Latn,1.0
quy_Latn,1.0
quy_Latn,0.52
quy_Latn,1.0
quy_Latn,0.95
quy_Latn,1.0
quz_Latn,0.98
quy_Latn,1.0
quy_Latn,0.96
quy_Latn,1.0
quy_Latn,0.89
quz_Latn,0.54
quy_Latn,0.74
quy_Latn,0.83
quz_Latn,0.98
quy_Latn,0.94
quz_Latn,0.89
quz_Latn,0.81
quy_Latn,0.94
quy_Latn,0.7
quz_Latn,0.98
quy_Latn,0.78
quy_Latn,0.9
quy_Latn,0.78
quz_Latn,0.68
quy_Latn,1.0
quy_Latn,0.96
quy_Latn,1.0
quz_Latn,0.7
quy_Latn,0.94
quy_Latn,0.99
quy_Latn,0.56
quy_Latn,1.0
quy_Latn,0.96
quz_Latn,0.88
quy_Latn,0.95
quz_Latn,0.81
quy_Latn,0.99
quz_Latn,0.92
quz_Latn,0.86
quy_Latn,0.92
quy_Latn,0.99
quz_Latn,1.0
quz_Latn,0.49
quy_Latn,0.55
quz_Latn,0.83
quy_Latn,0.97
quy_Latn,0.98
quz_Latn,0.99
quy_Latn,0.5
quy_Latn,0.67
quy_Latn,1.0
quy_Latn,0.94
quy_Latn,0.91
quy_Latn,1.0
quy_Latn,1.0
quy_Latn,0.67
quy_Latn,0.95
quy_Latn,0.96
quy_Latn,0.99
quy_Latn,0.69
quz_Latn,0.86
quy_Latn,0.92
quy_Latn,1.0
quy_Latn,1.0
quy_Latn,1.0
quy_Latn,0.89
quz_Latn,0.89
quy_Latn,0.97
quy_Latn,0.97
quy_Latn,1.0
quy_Latn,1.0
quy_Latn,0.99
quy_Latn,0.52
quy_Latn,0.95
quz_Latn,0.82
quy_Latn,0.96
quz_Latn,0.72
quy_Latn,0.91
quy_Latn,0.99
quy_Latn,1.0
quy_Latn,0.99
quy_Latn,0.97
quz_Latn,0.72
quy_Latn,1.0
quy_Latn,0.9
quy_Latn,0.72
quy_Latn,0.94
quy_Latn,1.0
quy_Latn,0.59
quy_Latn,1.0
quz_Latn,0.64
quz_Latn,0.98
quz_Latn,0.91
quy_Latn,0.73
quy_Latn,0.95
quy_Latn,0.99
quy_Latn,1.0
quz_Latn,0.72
quy_Latn,1.0
quy_Latn,1.0
quz_Latn,0.35
quy_Latn,1.0
quy_Latn,1.0
quy_Latn,1.0
quy_Latn,1.0
quz_Latn,0.99
quy_Latn,0.93
quy_Latn,1.0
quy_Latn,1.0
quz_Latn,0.94
quy_Latn,1.0
quy_Latn,0.98
quy_Latn,1.0
quy_Latn,1.0
quy_Latn,1.0
quy_Latn,1.0
quy_Latn,1.0
quy_Latn,1.0
quy_Latn,0.95
quy_Latn,1.0
quy_Latn,0.82
quy_Latn,1.0
quy_Latn,0.97
quy_Latn,1.0
quz_Latn,0.57
quy_Latn,1.0
quy_Latn,0.98
quz_Latn,0.95
quz_Latn,0.9
quy_Latn,0.82
quy_Latn,1.0
quy_Latn,0.99
quy_Latn,1.0
quy_Latn,1.0
quz_Latn,0.58
quy_Latn,1.0
quy_Latn,0.79
quy_Latn,0.99
quy_Latn,0.96
quy_Latn,1.0
quy_Latn,0.79
quy_Latn,1.0
quz_Latn,0.78
quz_Latn,0.69
quy_Latn,1.0
quy_Latn,0.99
quy_Latn,1.0
quy_Latn,0.99
quy_Latn,0.98
quy_Latn,0.85
quy_Latn,1.0
quy_Latn,1.0
quy_Latn,1.0
quy_Latn,0.99
quy_Latn,1.0
quy_Latn,0.98
quy_Latn,1.0
quy_Latn,0.96
quy_Latn,0.98
quy_Latn,0.99
quz_Latn,0.88
quz_Latn,0.9
quy_Latn,1.0
quz_Latn,0.87
quy_Latn,1.0
quy_Latn,0.97
quy_Latn,1.0
quz_Latn,0.6
quy_Latn,1.0
quy_Latn,1.0
quz_Latn,0.91
quy_Latn,0.49
quy_Latn,0.98
quy_Latn,0.66
quz_Latn,1.0
quy_Latn,0.94
quy_Latn,0.97
quy_Latn,0.91
quy_Latn,0.95
quy_Latn,0.78
quy_Latn,1.0
quz_Latn,0.84
quy_Latn,1.0
quy_Latn,0.99
quy_Latn,1.0
quy_Latn,0.89
quz_Latn,0.86
quy_Latn,1.0
quy_Latn,0.91
quz_Latn,0.98
quy_Latn,0.93
quz_Latn,0.81
quz_Latn,0.97
quz_Latn,0.35
quy_Latn,1.0
quy_Latn,1.0
quy_Latn,0.97
quy_Latn,0.54
quz_Latn,0.96
quy_Latn,1.0
quy_Latn,1.0
quy_Latn,1.0
quy_Latn,0.98
quy_Latn,0.99
quy_Latn,0.98
quy_Latn,0.98
quy_Latn,0.98
quy_Latn,0.9
quy_Latn,0.98
quy_Latn,0.99
quy_Latn,0.85
quy_Latn,0.99
quy_Latn,0.99
quy_Latn,0.75
quz_Latn,0.96
quy_Latn,1.0
quy_Latn,0.94
quy_Latn,0.91
quz_Latn,0.98
quy_Latn,1.0
quy_Latn,0.99
quy_Latn,1.0
quy_Latn,1.0
quy_Latn,1.0
quy_Latn,1.0
quy_Latn,1.0
quy_Latn,1.0
quy_Latn,1.0
quz_Latn,0.75
quy_Latn,1.0
quy_Latn,0.97
quy_Latn,1.0
quy_Latn,0.71
quz_Latn,0.95
quy_Latn,1.0
quy_Latn,0.93
quy_Latn,0.79
quz_Latn,0.69
quy_Latn,1.0
quy_Latn,0.96
quy_Latn,1.0
quy_Latn,0.97
quy_Latn,1.0
quy_Latn,0.99
quz_Latn,0.92
quy_Latn,0.65
quy_Latn,1.0
quy_Latn,1.0
quy_Latn,0.99
quz_Latn,0.73
quy_Latn,1.0
quz_Latn,0.5
quy_Latn,0.83
quz_Latn,0.87
quy_Latn,0.71
quz_Latn,0.99
quz_Latn,0.68
quy_Latn,0.99
quy_Latn,1.0
quy_Latn,1.0
quy_Latn,0.97
quz_Latn,0.5
quz_Latn,0.68
quy_Latn,0.86
quz_Latn,0.92
quy_Latn,0.99
quy_Latn,0.98
quy_Latn,0.8
quy_Latn,0.99
quy_Latn,1.0
quy_Latn,0.85
quy_Latn,0.95
quz_Latn,0.99
quy_Latn,0.92
quy_Latn,0.74
quy_Latn,0.98
quz_Latn,0.87
quy_Latn,0.83
quy_Latn,0.96
quy_Latn,0.99
quy_Latn,0.97
quy_Latn,0.99
quz_Latn,1.0
quz_Latn,0.9
quz_Latn,0.58
quy_Latn,0.99
quy_Latn,1.0
quy_Latn,0.98
quz_Latn,0.67
quz_Latn,0.44
quy_Latn,0.99
quy_Latn,0.99
quy_Latn,1.0
quz_Latn,0.99
quy_Latn,1.0
quy_Latn,1.0
quy_Latn,0.99
quy_Latn,0.54
quz_Latn,0.56
quy_Latn,0.89
quy_Latn,0.95
quy_Latn,0.96
quy_Latn,0.97
quz_Latn,1.0
quz_Latn,0.79
quy_Latn,1.0
quy_Latn,1.0
quy_Latn,0.95
